Variable,Measure,Country,Year,Value
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Estonia,2010,407
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Estonia,2011,387
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Estonia,2012,389
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Estonia,2013,352
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Estonia,2014,359
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Estonia,2015,331
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Estonia,2016,323
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Estonia,2017,316
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Estonia,2018,320
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Estonia,2019,301
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Estonia,2020,322
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),United States,2010,280
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),United States,2011,279
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),United States,2012,272
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),United States,2013,276
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),United States,2014,275
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),United States,2015,274
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),United States,2016,281
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),United States,2017,281
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),United States,2018,277
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),United States,2019,273
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),United States,2020,336
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Austria,2010,214
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Austria,2011,206
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Austria,2012,204
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Austria,2013,199
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Austria,2014,197
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Austria,2015,201
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Austria,2016,195
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Austria,2017,189
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Austria,2018,188
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Austria,2019,183
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Austria,2020,191
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Israel,2010,170
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Israel,2011,167
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Israel,2012,161
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Israel,2013,155
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Israel,2014,150
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Israel,2015,152
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Israel,2016,144
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Israel,2017,136
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Israel,2018,134
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Israel,2019,133
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Israel,2020,141
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Mexico,2010,399
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Mexico,2011,390
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Mexico,2012,385
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Mexico,2013,374
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Mexico,2014,376
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Mexico,2015,374
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Mexico,2016,390
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Mexico,2017,387
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Mexico,2018,384
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Mexico,2019,387
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Mexico,2020,665
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Latvia,2010,532
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Latvia,2011,505
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Latvia,2012,492
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Latvia,2013,483
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Latvia,2014,464
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Latvia,2015,455
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Latvia,2016,443
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Latvia,2017,436
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Latvia,2018,432
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Latvia,2019,402
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Latvia,2020,413
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Australia,2010,170
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Australia,2011,168
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Australia,2012,161
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Australia,2013,160
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Australia,2014,162
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Australia,2015,162
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Australia,2016,156
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Australia,2017,154
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Australia,2018,151
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Australia,2019,156
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Australia,2020,144
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Lithuania,2010,527
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Lithuania,2011,508
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Lithuania,2012,499
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Lithuania,2013,489
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Lithuania,2014,462
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Lithuania,2015,469
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Lithuania,2016,454
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Lithuania,2017,412
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Lithuania,2018,400
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Lithuania,2019,390
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Lithuania,2020,449
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Peru,2010,222
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Peru,2011,208
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Peru,2012,209
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Peru,2013,209
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Peru,2014,196
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Peru,2015,174
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Peru,2016,164
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Peru,2017,182
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Peru,2018,199
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Peru,2019,206
Avoidable mortality (preventable+treatable),Deaths per 100 000 population (standardised rates),Peru,2020,503
