VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
AVDMTRTM,Treatable mortality,NBFEMEPF,Number of female deaths,FIN,Finland,2010,2010,1743,,
AVDMTRTM,Treatable mortality,NBFEMEPF,Number of female deaths,FIN,Finland,2011,2011,1651,,
AVDMTRTM,Treatable mortality,NBFEMEPF,Number of female deaths,FIN,Finland,2012,2012,1750,,
AVDMTRTM,Treatable mortality,NBFEMEPF,Number of female deaths,FIN,Finland,2013,2013,1621,,
AVDMTRTM,Treatable mortality,NBFEMEPF,Number of female deaths,FIN,Finland,2014,2014,1583,,
AVDMTRTM,Treatable mortality,NBFEMEPF,Number of female deaths,FIN,Finland,2015,2015,1584,,
AVDMTRTM,Treatable mortality,NBFEMEPF,Number of female deaths,FIN,Finland,2016,2016,1704,,
AVDMTRTM,Treatable mortality,NBFEMEPF,Number of female deaths,FIN,Finland,2017,2017,1691,,
AVDMTRTM,Treatable mortality,NBFEMEPF,Number of female deaths,FIN,Finland,2018,2018,1636,,
AVDMTRTM,Treatable mortality,NBFEMEPF,Number of female deaths,FIN,Finland,2019,2019,1649,,
AVDMTRTM,Treatable mortality,NBFEMEPF,Number of female deaths,FIN,Finland,2020,2020,1673,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),FIN,Finland,2010,2010,78,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),FIN,Finland,2011,2011,77,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),FIN,Finland,2012,2012,77,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),FIN,Finland,2013,2013,75,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),FIN,Finland,2014,2014,72,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),FIN,Finland,2016,2016,69,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),FIN,Finland,2017,2017,71,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),FIN,Finland,2018,2018,70,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),FIN,Finland,2019,2019,68,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),FIN,Finland,2020,2020,69,,
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),COL,Colombia,2010,2010,106,,
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),COL,Colombia,2011,2011,99,,
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),COL,Colombia,2012,2012,99,,
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),COL,Colombia,2013,2013,97,,
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),COL,Colombia,2014,2014,95,,
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),COL,Colombia,2015,2015,95,,
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),COL,Colombia,2016,2016,95,,
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),COL,Colombia,2017,2017,93,,
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),COL,Colombia,2018,2018,95,,
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),COL,Colombia,2019,2019,92,,
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),COL,Colombia,2020,2020,96,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ITA,Italy,2010,2010,53,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ITA,Italy,2011,2011,55,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ITA,Italy,2012,2012,54,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ITA,Italy,2013,2013,52,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ITA,Italy,2014,2014,50,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ITA,Italy,2015,2015,51,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ITA,Italy,2016,2016,50,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ITA,Italy,2017,2017,50,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ESP,Spain,2010,2010,46,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ESP,Spain,2011,2011,45,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ESP,Spain,2012,2012,45,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ESP,Spain,2013,2013,45,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ESP,Spain,2014,2014,45,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ESP,Spain,2015,2015,45,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ESP,Spain,2016,2016,46,,
