Financing scheme,Function,Provider,Measure,Country,Year,Value
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Australia,2015,10.182
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Australia,2016,10.093
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Australia,2017,10.123
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Australia,2018,10.06
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Australia,2019,10.22
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Australia,2020,10.684
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Australia,2021,10.59
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Australia,2022,9.646
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Austria,2015,10.368
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Austria,2016,10.352
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Austria,2017,10.384
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Austria,2018,10.349
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Austria,2019,10.487
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Austria,2020,11.385
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Austria,2021,12.096
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Austria,2022,11.351
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Belgium,2015,10.797
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Belgium,2016,10.794
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Belgium,2017,10.799
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Belgium,2018,10.861
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Belgium,2019,10.795
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Belgium,2020,11.198
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Belgium,2021,11.043
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Belgium,2022,10.94
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Canada,2015,10.739
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Canada,2016,11.032
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Canada,2017,10.906
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Canada,2018,10.905
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Canada,2019,11.009
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Canada,2020,13.035
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Canada,2021,12.334
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Canada,2022,11.155
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Sweden,2015,10.804
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Sweden,2016,10.852
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Sweden,2017,10.785
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Sweden,2018,10.941
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Sweden,2019,10.832
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Sweden,2020,11.333
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Sweden,2021,11.247
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Sweden,2022,10.667
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Finland,2015,9.645
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Finland,2016,9.378
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Finland,2017,9.127
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Finland,2018,9.043
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Finland,2019,9.171
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Finland,2020,9.632
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Finland,2021,10.25
