Variable,Measure,Country,Year,Value
Preventable mortality,Number of total deaths,Australia,2010,22339
Preventable mortality,Number of total deaths,Australia,2011,22487
Preventable mortality,Number of total deaths,Australia,2012,22265
Preventable mortality,Number of total deaths,Australia,2013,22914
Preventable mortality,Number of total deaths,Australia,2014,23798
Preventable mortality,Number of total deaths,Australia,2015,24592
Preventable mortality,Number of total deaths,Australia,2016,24108
Preventable mortality,Number of total deaths,Australia,2017,24761
Preventable mortality,Number of total deaths,Australia,2018,24789
Preventable mortality,Number of total deaths,Australia,2019,26088
Preventable mortality,Number of total deaths,Australia,2020,24492
Preventable mortality,Number of total deaths,Netherlands,2010,19687
Preventable mortality,Number of total deaths,Netherlands,2011,19923
Preventable mortality,Number of total deaths,Netherlands,2012,20072
Preventable mortality,Number of total deaths,Netherlands,2013,19965
Preventable mortality,Number of total deaths,Netherlands,2014,19696
Preventable mortality,Number of total deaths,Netherlands,2015,20442
Preventable mortality,Number of total deaths,Netherlands,2016,20758
Preventable mortality,Number of total deaths,Netherlands,2017,20372
Preventable mortality,Number of total deaths,Netherlands,2018,20802
Preventable mortality,Number of total deaths,Netherlands,2019,20273
Preventable mortality,Number of total deaths,Netherlands,2020,23663
Preventable mortality,Number of total deaths,Chile,2010,21774
Preventable mortality,Number of total deaths,Chile,2011,20919
Preventable mortality,Number of total deaths,Chile,2012,21008
Preventable mortality,Number of total deaths,Chile,2013,21137
Preventable mortality,Number of total deaths,Chile,2014,21363
Preventable mortality,Number of total deaths,Chile,2015,21612
Preventable mortality,Number of total deaths,Chile,2016,21352
Preventable mortality,Number of total deaths,Chile,2017,20865
Preventable mortality,Number of total deaths,Chile,2018,20286
Preventable mortality,Number of total deaths,Chile,2019,20896
Preventable mortality,Number of total deaths,Chile,2020,29709
